345597,5384996,HN234654,07/10/2001 09:00:00 AM,077XX N HERMITAGE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,f,f,2422,24,49,1,06,1163377,1951249,2001,03/28/2007 09:12:21 AM,42.021869039,-87.67410027,"(42.021869039, -87.67410027)"
349918,5394595,HN240469,02/20/2001 10:00:00 AM,090XX S LAFLIN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,2222,22,21,73,06,1167966,1844587,2001,04/17/2007 05:29:41 AM,41.729082013,-87.660290623,"(41.729082013, -87.660290623)"
354784,5404036,HN249094,03/26/2001 12:00:00 AM,076XX S PRAIRIE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,f,f,623,6,6,69,06,1179324,1854173,2001,03/31/2007 07:38:54 AM,41.755135889,-87.618391929,"(41.755135889, -87.618391929)"
360322,5418742,HN256180,09/01/2001 01:00:00 PM,029XX W NORTH AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,1421,14,35,24,06,1156520,1910536,2001,04/25/2007 05:57:12 AM,41.91029242,-87.700440974,"(41.91029242, -87.700440974)"
365660,5428338,HN264861,08/01/2001 10:00:00 AM,068XX S PAXTON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,331,3,5,43,06,1192010,1860243,2001,04/28/2007 05:26:07 AM,41.771493751,-87.571704928,"(41.771493751, -87.571704928)"
365943,5428905,HN258092,11/01/2001 12:01:00 AM,086XX S DREXEL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,632,6,8,44,06,1183773,1847900,2001,04/08/2007 10:39:00 AM,41.7378195,-87.60228303,"(41.7378195, -87.60228303)"
370946,5438655,HN268489,09/01/2001 09:00:00 AM,011XX N LA SALLE DR,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,f,f,1824,18,43,8,06,1174894,1907827,2001,04/20/2007 07:07:09 AM,41.902466926,-87.633023725,"(41.902466926, -87.633023725)"
372753,5442601,HN275341,11/01/2001 08:00:00 AM,038XX W 19TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,1014,10,24,29,06,1150838,1890394,2001,04/13/2007 05:31:29 AM,41.855133752,-87.721841799,"(41.855133752, -87.721841799)"
376580,5450503,HN281010,01/01/2001 12:01:00 AM,022XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,f,f,1033,10,12,30,02,1156421,1888758,2001,04/18/2007 05:47:17 AM,41.850533452,-87.701393758,"(41.850533452, -87.701393758)"
376661,5450711,G541602,09/09/2001 07:19:32 PM,073XX S CAMPBELL AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,f,f,835,8,18,66,02,1160935,1856101,2001,05/03/2007 07:26:52 AM,41.760826191,-87.685729607,"(41.760826191, -87.685729607)"
