713,STREET,58,1160711,1877051,41.81832042,-87.685972432,"(41.81832042, -87.685972432)",58
714,APARTMENT,3,1165173,1931956,41.968890414,-87.668042567,"(41.968890414, -87.668042567)",59
715,APARTMENT,3,1165173,1931956,41.968890414,-87.668042567,"(41.968890414, -87.668042567)",60
716,APARTMENT,22,1149518,1916996,41.928158152,-87.725995708,"(41.928158152, -87.725995708)",61
717,STREET,25,1138469,1907132,41.901297786,-87.766836725,"(41.901297786, -87.766836725)",62
719,APARTMENT,25,1138428,1908358,41.90466282,-87.766957593,"(41.90466282, -87.766957593)",63
720,CLUB,28,1164573,1894334,41.865665996,-87.671316598,"(41.865665996, -87.671316598)",64
722,PARKING LOT,38,1177131,1871463,41.802631191,-87.625907363,"(41.802631191, -87.625907363)",65
723,STREET,30,1157039,1889464,41.852458292,-87.699106436,"(41.852458292, -87.699106436)",66
725,AUTO,30,1156015,1889697,41.853118363,-87.702858557,"(41.853118363, -87.702858557)",67
726,GANGWAY,26,1149034,1896597,41.872190594,-87.728302895,"(41.872190594, -87.728302895)",68
728,ALLEY,30,1148885,1883408,41.836001205,-87.729190635,"(41.836001205, -87.729190635)",69
729,GANGWAY,29,1147915,1890838,41.856408765,-87.732559225,"(41.856408765, -87.732559225)",70
730,STREET,5,1161414,1922897,41.944111317,-87.682117431,"(41.944111317, -87.682117431)",71
731,AUTO,65,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)",72
732,ALLEY,25,1137160,1899759,41.881088946,-87.77182211,"(41.881088946, -87.77182211)",73
733,APARTMENT,24,1156198,1906663,41.899671086,-87.70172864,"(41.899671086, -87.70172864)",74
734,PARKING LOT,22,1153880,1917923,41.930616012,-87.709942083,"(41.930616012, -87.709942083)",75
735,BASEMENT,69,1183521,1855830,41.759586127,-87.602959664,"(41.759586127, -87.602959664)",76
736,RESTAURANT,45,1188293,1848511,41.73938959,-87.585703691,"(41.73938959, -87.585703691)",77
737,VACANT LOT,27,1153444,1899321,41.879579099,-87.712039397,"(41.879579099, -87.712039397)",78
739,YARD,29,1150349,1890723,41.85604611,-87.723628089,"(41.85604611, -87.723628089)",79
740,CLUB,26,1147505,1899662,41.88063075,-87.733837962,"(41.88063075, -87.733837962)",80
741,AUTO,24,1166149,1908911,41.9056329,-87.665114338,"(41.9056329, -87.665114338)",81
745,HOUSE,64,1132444,1863642,41.782061296,-87.789978129,"(41.782061296, -87.789978129)",82
746,AUTO,19,1135916,1915323,41.923820753,-87.776018796,"(41.923820753, -87.776018796)",83
747,PORCH,49,1178093,1835851,41.704885986,-87.623456938,"(41.704885986, -87.623456938)",84
748,AUTO,30,1150171,1884876,41.840004672,-87.724433615,"(41.840004672, -87.724433615)",85
749,APARTMENT,25,1139076,1898876,41.878631263,-87.764808046,"(41.878631263, -87.764808046)",86
750,AUTO,23,1154242,1906273,41.898640181,-87.708923492,"(41.898640181, -87.708923492)",87
751,CHA APARTMENT,8,1171685,1909232,41.906393604,-87.644769378,"(41.906393604, -87.644769378)",88
752,ALLEY,73,1168252,1844797,41.729652142,-87.659236908,"(41.729652142, -87.659236908)",89
754,CAR WASH,26,1147416,1899660,41.880626967,-87.734164817,"(41.880626967, -87.734164817)",90
755,STREET,19,1143771,1916532,41.926994652,-87.747125728,"(41.926994652, -87.747125728)",91
756,PORCH,46,1198288,1848311,41.738596666,-87.549091128,"(41.738596666, -87.549091128)",92
759,STREET,24,1165208,1910720,41.910616981,-87.668519441,"(41.910616981, -87.668519441)",93
760,PORCH,52,1201827,1837602,41.709121141,-87.536488496,"(41.709121141, -87.536488496)",94
761,APARTMENT,43,1196662,1855467,41.758273773,-87.554811094,"(41.758273773, -87.554811094)",95
763,AUTO,71,1171494,1847392,41.736702897,-87.647284792,"(41.736702897, -87.647284792)",96
764,APARTMENT,71,1166759,1850689,41.745852611,-87.664538462,"(41.745852611, -87.664538462)",97
765,LOADING DOCK,1,1163350,1947167,42.010668525,-87.674315285,"(42.010668525, -87.674315285)",98
